,0
958,1
959,9
960,3
961,0
962,1
963,4
964,5
965,3
966,5
967,0
968,3
969,6
970,4
971,9
972,9
973,3
974,8
975,3
976,5
977,4
978,7
979,4
980,7
981,2
982,5
983,2
984,6
985,7
986,7
987,6
988,8
989,4
990,1
991,8
992,2
993,5
994,8
995,5
996,7
997,8
998,9
999,8
1000,6
1001,7
1002,3
1003,8
1004,5
1005,8
1006,9
1007,4
1008,2
1009,0
1010,9
1011,8
1012,5
1013,4
1014,4
1015,0
1016,7
1017,3
1018,1
1019,6
1020,4
1021,7
1022,1
1023,7
1024,2
1025,3
1026,2
1027,5
1028,4
1029,2
1030,5
1031,4
1032,4
1033,7
1034,7
1035,4
1036,2
1037,0
1038,3
1039,5
1040,1
1041,1
1042,2
1043,1
1044,7
1045,5
1046,4
1047,7
1048,0
1049,1
1050,5
1051,0
1052,3
1053,1
1054,8
1055,3
1056,6
1057,5
1058,9
1059,4
1060,6
1061,9
1062,2
1063,9
1064,4
1065,1
1066,9
1067,2
1068,1
1069,0
1070,0
1071,2
1072,4
1073,1
1074,9
1075,4
1076,8
1077,3
1078,0
1079,0
1080,0
1081,9
1082,3
1083,0
1084,8
1085,2
1086,3
1087,2
1088,5
1089,8
1090,3
1091,5
1092,4
1093,4
1094,4
1095,1
1096,6
1097,8
1098,3
1099,8
1100,2
1101,7
1102,7
1103,1
1104,0
1105,7
1106,4
1107,7
1108,7
1109,5
1110,8
1111,2
1112,8
1113,9
1114,7
1115,1
1116,5
1117,2
1118,9
1119,8
1120,0
1121,7
1122,3
1123,8
1124,9
1125,0
1126,5
1127,9
1128,0
1129,0
1130,2
1131,5
1132,2
1133,3
1134,1
1135,5
1136,2
1137,8
1138,5
1139,0
1140,7
1141,3
1142,2
1143,2
1144,4
1145,2
1146,9
1147,2
1148,7
1149,5
1150,4
1151,0
1152,7
1153,3
1154,2
1155,5
1156,9
1157,7
1158,7
1159,7
1160,2
1161,9
1162,4
1163,5
1164,3
1165,8
1166,9
1167,2
1168,5
1169,7
1170,6
1171,5
1172,1
1173,8
1174,2
1175,3
1176,8
1177,0
1178,7
1179,1
1180,4
1181,8
1182,5
1183,1
1184,1
1185,2
1186,2
1187,6
1188,8
1189,9
1190,8
1191,2
1192,3
1193,2
1194,6
1195,4
1196,5
1197,0
1198,7
1199,5
1200,5
1201,6
1202,5
1203,2
1204,9
1205,8
1206,3
1207,5
1208,5
1209,1
1210,4
1211,7
1212,9
1213,3
1214,2
1215,5
1216,9
1217,5
1218,3
1219,3
1220,2
1221,1
1222,3
1223,4
1224,5
1225,4
1226,7
1227,3
1228,8
1229,9
1230,0
1231,9
1232,9
1233,7
1234,7
1235,9
1236,4
1237,4
1238,0
1239,6
1240,7
1241,2
1242,9
1243,5
1244,6
1245,7
1246,4
1247,7
1248,3
1249,3
1250,9
1251,1
1252,9
1253,5
1254,2
1255,2
1256,5
1257,7
1258,8
1259,4
1260,0
1261,2
1262,7
1263,5
1264,2
1265,8
1266,9
1267,8
1268,9
1269,5
1270,9
1271,3
1272,8
1273,8
1274,3
1275,5
1276,8
1277,8
1278,6
1279,4
1280,7
1281,6
1282,3
1283,2
1284,3
1285,2
1286,3
1287,2
1288,0
1289,0
1290,8
1291,4
1292,2
1293,7
1294,8
1295,0
1296,8
1297,1
1298,2
1299,4
1300,7
1301,9
1302,0
1303,6
1304,3
1305,7
1306,0
1307,4
1308,0
1309,0
1310,6
1311,0
1312,4
1313,2
1314,8
1315,8
1316,9
1317,0
1318,7
1319,1
1320,0
1321,1
1322,2
1323,3
1324,9
1325,8
1326,0
1327,2
1328,6
1329,1
1330,9
1331,0
1332,8
1333,0
1334,7
1335,0
1336,4
1337,3
1338,0
1339,8
1340,9
1341,6
1342,3
1343,5
1344,9
1345,8
1346,8
1347,7
1348,6
1349,8
1350,5
1351,8
1352,2
1353,0
1354,2
1355,1
1356,4
1357,5
1358,3
1359,0
1360,4
1361,3
1362,3
1363,5
1364,4
1365,8
1366,2
1367,8
1368,3
1369,4
1370,9
1371,9
1372,0
1373,8
1374,7
1375,4
1376,7
1377,4
1378,4
1379,4
1380,5
1381,2
1382,4
1383,6
1384,0
1385,8
1386,7
1387,0
1388,7
1389,1
1390,4
1391,0
1392,0
1393,0
1394,4
1395,8
1396,4
1397,5
1398,9
1399,5
1400,3
1401,0
1402,7
1403,8
1404,9
1405,7
1406,5
1407,2
1408,9
1409,7
1410,4
1411,3
1412,8
1413,4
1414,2
1415,6
1416,4
1417,4
1418,3
1419,9
1420,2
1421,0
1422,9
1423,3
1424,3
1425,7
1426,0
1427,4
1428,2
1429,4
1430,5
1431,9
1432,2
1433,7
1434,6
1435,5
1436,4
1437,9
1438,7
1439,4
1440,9
1441,4
1442,0
1443,1
1444,3
1445,5
1446,8
1447,2
1448,2
1449,8
1450,4
1451,4
1452,3
1453,8
1454,7
1455,2
1456,9
1457,2
1458,1
1459,5
1460,0
1461,9
1462,1
1463,3
1464,1
1465,5
1466,4
1467,0
1468,7
1469,7
1470,3
1471,0
1472,2
1473,9
1474,8
1475,9
1476,7
1477,9
1478,4
1479,9
1480,0
1481,3
1482,2
1483,8
1484,5
1485,4
1486,4
1487,1
1488,0
1489,3
1490,2
1491,7
1492,2
1493,5
1494,2
1495,7
1496,6
1497,3
1498,0
1499,3
1500,0
1501,7
1502,4
1503,9
1504,7
1505,3
1506,8
1507,1
1508,8
1509,5
1510,4
1511,5
1512,9
1513,6
1514,0
1515,5
1516,0
1517,0
1518,2
1519,5
1520,8
1521,0
1522,8
1523,9
1524,0
1525,7
1526,0
1527,5
1528,5
1529,7
1530,2
1531,8
1532,0
1533,7
1534,0
1535,3
1536,2
1537,1
1538,7
1539,8
1540,3
1541,8
1542,4
1543,7
1544,8
1545,4
1546,8
1547,0
1548,8
1549,9
1550,9
1551,7
1552,4
1553,1
1554,7
1555,9
1556,0
1557,6
1558,3
1559,9
1560,3
1561,2
1562,0
1563,1
1564,8
1565,7
1566,4
1567,8
1568,5
1569,1
1570,5
1571,4
1572,4
1573,9
1574,7
1575,5
1576,8
1577,9
1578,9
1579,7
1580,0
1581,1
1582,0
1583,8
1584,4
1585,5
1586,1
1587,5
1588,3
1589,5
1590,4
1591,0
1592,3
1593,7
1594,2
1595,1
1596,2
1597,3
1598,0
1599,4
1600,0
1601,0
1602,4
1603,5
1604,3
1605,9
1606,8
1607,9
1608,5
1609,3
1610,7
1611,3
1612,2
1613,4
1614,7
1615,7
1616,7
1617,7
1618,9
1619,4
1620,6
1621,9
1622,9
1623,9
1624,8
1625,8
1626,7
1627,0
1628,5
1629,2
1630,1
1631,5
1632,7
1633,4
1634,5
1635,3
1636,7
1637,2
1638,7
1639,5
1640,8
1641,4
1642,5
1643,5
1644,5
1645,0
1646,4
1647,3
1648,3
1649,4
1650,2
1651,4
1652,0
1653,8
1654,4
1655,5
1656,8
1657,9
1658,9
1659,3
1660,8
1661,8
1662,7
1663,1
1664,1
1665,4
1666,2
1667,3
1668,0
1669,5
1670,8
1671,3
1672,2
1673,2
1674,7
1675,3
1676,9
1677,5
1678,9
1679,7
1680,6
1681,0
1682,0
1683,8
1684,7
1685,8
1686,0
1687,1
1688,9
1689,7
1690,1
1691,9
1692,1
1693,0
1694,0
1695,3
1696,7
1697,8
1698,9
1699,4
1700,5
1701,1
1702,5
1703,3
1704,2
1705,2
1706,9
1707,8
1708,7
1709,4
1710,0
1711,5
1712,8
1713,6
1714,9
1715,6
1716,3
1717,3
1718,7
1719,2
1720,7
1721,1
1722,4
1723,2
1724,9
1725,9
1726,9
1727,2
1728,0
1729,0
1730,9
1731,7
1732,0
1733,7
1734,6
1735,8
1736,8
1737,0
1738,4
1739,2
1740,7
1741,2
1742,2
1743,7
1744,4
1745,7
1746,4
1747,9
1748,7
1749,6
1750,7
1751,8
1752,2
1753,2
1754,0
1755,9
1756,0
1757,0
1758,2
1759,7
1760,2
1761,5
1762,6
1763,7
1764,7
1765,2
1766,4
1767,4
1768,7
1769,3
1770,6
1771,7
1772,7
1773,3
1774,0
1775,1
1776,2
1777,3
1778,3
1779,5
1780,0
1781,8
1782,9
1783,6
1784,3
1785,2
1786,4
1787,5
1788,3
1789,4
1790,9
1791,8
1792,5
1793,9
1794,1
1795,7
1796,8
1797,9
1798,5
1799,9
1800,9
1801,8
1802,2
1803,0
1804,3
1805,5
1806,4
1807,4
1808,8
1809,4
1810,3
1811,7
1812,6
1813,6
1814,8
1815,5
1816,5
1817,4
1818,2
1819,6
1820,1
1821,2
1822,0
1823,9
1824,8
1825,8
1826,7
1827,7
1828,0
1829,4
1830,0
1831,0
1832,0
1833,3
1834,2
1835,1
1836,8
1837,3
1838,2
1839,7
1840,1
1841,4
1842,5
1843,8
1844,2
1845,7
1846,7
1847,7
1848,3
1849,2
1850,5
1851,8
1852,7
1853,0
1854,8
1855,3
1856,8
1857,4
1858,4
1859,9
1860,4
1861,1
1862,1
1863,3
1864,3
1865,4
1866,3
1867,0
1868,9
1869,7
1870,2
1871,0
1872,0
1873,0
1874,3
1875,6
1876,7
1877,5
1878,0
1879,1
1880,0
1881,2
1882,8
1883,0
1884,5
1885,9
1886,9
1887,0
1888,2
1889,5
1890,8
1891,3
1892,9
1893,1
1894,3
1895,3
1896,4
1897,8
1898,1
1899,5
1900,3
1901,4
1902,4
1903,4
1904,3
1905,3
1906,2
1907,8
1908,9
1909,0
1910,4
1911,3
1912,8
1913,4
1914,8
1915,5
1916,8
1917,6
1918,5
1919,5
1920,0
1921,4
1922,7
1923,5
1924,7
1925,1
1926,0
1927,4
1928,4
1929,8
1930,2
1931,5
1932,5
1933,7
1934,3
1935,3
1936,7
1937,0
1938,7
1939,5
1940,9
1941,4
1942,7
1943,9
1944,8
1945,9
1946,9
1947,7
1948,9
1949,4
1950,8
1951,5
1952,8
1953,4
1954,1
1955,7
1956,1
1957,6
1958,2
1959,0
1960,2
1961,5
1962,5
1963,2
1964,5
1965,3
1966,9
1967,0
1968,4
1969,8
1970,5
1971,4
1972,7
1973,9
1974,4
1975,2
1976,1
1977,7
1978,5
1979,5
1980,8
1981,7
1982,5
1983,4
1984,9
1985,2
1986,5
1987,7
1988,5
1989,3
1990,3
1991,9
1992,3
1993,2
1994,3
1995,6
1996,4
1997,0
1998,3
1999,5
2000,5
2001,5
2002,2
2003,1
2004,3
2005,2
2006,5
2007,9
2008,8
2009,4
2010,5
2011,4
2012,2
2013,8
2014,8
2015,5
2016,8
2017,0
2018,9
2019,3
2020,9
2021,8
2022,8
2023,7
2024,7
2025,4
2026,4
2027,2
2028,2
2029,3
2030,5
2031,9
2032,2
2033,5
2034,5
2035,6
2036,7
2037,0
2038,5
2039,1
2040,8
2041,5
2042,5
2043,7
2044,8
2045,8
2046,3
2047,7
2048,5
2049,8
2050,3
2051,6
2052,5
2053,5
2054,4
2055,8
2056,7
2057,6
2058,1
2059,6
2060,9
2061,7
2062,9
2063,1
2064,9
2065,5
2066,8
2067,3
2068,5
2069,6
2070,1
2071,2
2072,9
2073,8
2074,5
2075,1
2076,7
2077,4
2078,7
2079,4
2080,9
2081,9
2082,0
2083,2
2084,7
2085,6
2086,7
2087,2
2088,7
2089,7
2090,6
2091,3
2092,1
2093,3
2094,9
2095,9
2096,5
2097,8
2098,5
2099,8
2100,7
2101,9
2102,1
2103,5
2104,5
2105,4
2106,2
2107,8
2108,5
2109,4
2110,5
2111,1
2112,5
2113,3
2114,6
2115,5
2116,2
2117,7
2118,8
2119,3
2120,2
2121,9
2122,8
2123,8
2124,2
2125,8
2126,0
2127,4
2128,8
2129,0
2130,4
2131,3
2132,5
2133,4
2134,2
2135,7
2136,2
2137,9
2138,5
2139,2
2140,7
2141,3
2142,3
2143,8
2144,3
2145,9
2146,9
2147,3
2148,0
2149,3
2150,7
2151,9
2152,4
2153,9
2154,1
2155,8
2156,7
2157,0
2158,4
2159,7
2160,7
2161,0
2162,5
2163,4
2164,0
2165,7
2166,9
2167,8
2168,2
2169,2
2170,5
2171,8
2172,1
2173,8
2174,7
2175,8
2176,9
2177,8
2178,6
2179,0
2180,2
2181,4
2182,3
